"Gene" "Ensembl" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"50" "PLXDC2" "ENSG00000120594" 21.7884013525 -7.7157929066 1.4794569454 -5.2152872246 1.84e-07 5.07e-05
"51" "GCNA" "ENSG00000147174" 176.2741062587 6.5375998358 1.2545954221 5.2109227567 1.88e-07 5.07e-05
"52" "SH2B2" "ENSG00000160999" 37.7656849967 -8.0138028515 1.5372082582 -5.2132187093 1.86e-07 5.07e-05
"53" "RAB31" "ENSG00000168461" 99.9950137361 -6.4490892775 1.2397605357 -5.2018830184 1.97e-07 5.22e-05
"54" "IL32" "ENSG00000008517" 28.7267094231 -6.592784225 1.2684576254 -5.197480856 2.02e-07 5.25e-05
"55" "TINAGL1" "ENSG00000142910" 43.312866341 -8.0653491127 1.5530221761 -5.1933251416 2.07e-07 5.27e-05
"57" "PPM1L" "ENSG00000163590" 14.9709178383 7.5693972623 1.4730451295 5.1386051322 2.77e-07 6.81e-05
"59" "TLE2" "ENSG00000065717" 508.3419309891 5.9790103949 1.173724199 5.0940505444 3.5e-07 8.33e-05
"60" "LRRC8B" "ENSG00000197147" 28.8663060262 -7.1274840112 1.4010498615 -5.0872450775 3.63e-07 8.49e-05
"61" "DDX47" "ENSG00000213782" 31.5872624137 -7.2308118416 1.4243889478 -5.0764307408 3.85e-07 8.84e-05
"62" "STEAP3" "ENSG00000115107" 44.222762623 -7.1184264059 1.4041085925 -5.0697121603 3.98e-07 9.01e-05
"63" "ETS2" "ENSG00000157557" 38.4572755589 -6.2829959929 1.2454528241 -5.0447482806 4.54e-07 0.0001010811
"64" "SLC4A8" "ENSG00000050438" 530.8384790052 5.1363940109 1.0198190983 5.0365736622 4.74e-07 0.0001038444
"65" "SMARCA2" "ENSG00000080503" 154.2278236562 -5.8381198226 1.1638529316 -5.0162006421 5.27e-07 0.0001137013
"67" "FMN1" "ENSG00000248905" 42.6085292426 3.6409917395 0.7285645949 4.9974865163 5.81e-07 0.0001215656
"68" "GBGT1" "ENSG00000148288" 43.8090296921 -7.889497749 1.5861774241 -4.9739062159 6.56e-07 0.0001353159
"69" "BICDL2" "ENSG00000162069" 33.2799810038 -6.8372048351 1.377007702 -4.9652625945 6.86e-07 0.0001394337
"72" "PTHLH" "ENSG00000087494" 27.6628268462 -7.6266434375 1.5542045216 -4.907104137 9.24e-07 0.0001800221
"73" "MT-ND4" "ENSG00000198886" 1107820.70966163 3.4608993302 0.7119442221 4.8611944907 1.17e-06 0.0002241366
"74" "HEG1" "ENSG00000173706" 35.3192203056 -7.6974226565 1.5859032574 -4.8536520878 1.21e-06 0.0002296897
"75" "RP11-930P14.2" "ENSG00000260588" 34.0492753493 5.0115199721 1.0337029753 4.8481237764 1.25e-06 0.0002330335
"76" "MT-ND6" "ENSG00000198695" 53479.0039263308 3.4329053329 0.7102567917 4.8333298222 1.34e-06 0.0002477422
"77" "BMP7" "ENSG00000101144" 54.4377458225 4.6060739374 0.9544212798 4.8260386007 1.39e-06 0.0002536442
"78" "C12orf56" "ENSG00000185306" 19.4028249717 -7.0671007993 1.4705085999 -4.8058887922 1.54e-06 0.0002769822
"80" "GATA2-AS1" "ENSG00000244300" 26.9994015329 -7.0482996278 1.4728820454 -4.7853795554 1.71e-06 0.0002954603
"82" "SLC25A24" "ENSG00000085491" 41.7733203864 -6.1934532541 1.2953781339 -4.7811932994 1.74e-06 0.0002980019
"83" "URAD" "ENSG00000183463" 21.1313802014 -7.385698546 1.5498672951 -4.7653747967 1.89e-06 0.0003184791
"84" "COL4A2" "ENSG00000134871" 40.9250704108 -7.2447099168 1.5250118576 -4.7505925155 2.03e-06 0.0003385911
"85" "TVP23C" "ENSG00000175106" 46.1780016073 4.5561249311 0.9603662721 4.7441534166 2.09e-06 0.0003454279
"86" "FYB" "ENSG00000082074" 23.3644381787 -7.1088464245 1.5016041942 -4.7341679333 2.2e-06 0.0003586554
"87" "MTHFD1" "ENSG00000100714" 299.9989341219 -4.3228849134 0.9139852965 -4.7297094714 2.25e-06 0.0003603066
"88" "MT-ND1" "ENSG00000198888" 305175.206080271 3.4318204947 0.7257629042 4.7285697226 2.26e-06 0.0003603066
"89" "DNAH12" "ENSG00000174844" 9.8247777184 7.8231496674 1.6559526154 4.7242593747 2.31e-06 0.0003638976
